16 30 34 37 44 16
23 49 57 64 67 20
10 16 38 43 63 23
01 28 33 55 56 22
02 03 16 48 56 24
19 20 21 42 48 23
13 18 37 54 61 05
21 31 50 51 69 08
01 25 28 31 54 02
08 17 20 27 52 24
28 41 61 63 65 07
16 24 28 43 61 21
07 32 41 47 61 03
17 19 21 37 44 16
03 14 18 25 45 07
08 10 26 27 33 22
41 48 49 53 64 20
12 21 32 44 66 15
18 26 37 39 66 15
01 08 16 40 48 10
25 33 40 54 68 03
28 38 42 51 52 21
16 23 30 44 58 04
01 03 28 57 67 09
16 17 29 41 42 04
03 12 24 37 63 10
01 03 13 16 43 24
23 55 59 64 69 13
09 40 41 53 58 12
23 25 45 52 67 02
18 28 62 66 68 22
12 20 39 49 69 17
09 43 57 60 64 10
06 13 16 17 52 25
14 20 42 49 66 05
05 09 17 37 64 02
05 28 33 38 42 19
03 07 09 31 33 20
10 13 28 52 61 02
06 32 47 62 65 19
10 16 40 52 55 17
10 16 40 52 55 17
02 18 19 22 63 19
23 33 42 46 59 04
01 26 41 50 57 11
16 30 41 48 53 16
13 25 44 54 67 05
02 09 27 29 42 09
18 31 32 45 48 16
08 15 31 36 62 11
09 32 36 44 65 01
08 20 46 53 54 13
23 36 51 53 60 15
08 14 61 63 68 24
