18 30 40 48 52 09
12 27 29 43 68 01
15 20 29 31 40 01
48 49 57 62 69 19
30 32 42 56 57 11
20 31 56 60 64 02
04 54 56 62 63 10
09 20 25 47 68 07
02 12 17 20 65 17
07 16 25 50 53 15
04 26 32 55 64 18
14 22 37 45 66 05
17 40 41 46 69 06
37 47 50 52 57 21
16 29 53 58 69 21
02 06 47 66 67 02
14 18 19 32 64 09
13 27 33 47 68 13
07 10 16 46 56 01
02 14 19 30 62 22
09 10 32 42 55 06
28 30 41 59 68 10
16 38 55 63 67 25
27 40 44 59 65 20
12 36 38 54 61 22
05 06 15 29 42 10
02 11 47 62 63 17
16 19 32 34 57 13
04 08 19 27 34 10
03 51 52 61 64 06
05 39 44 47 69 24
22 32 34 40 69 19
03 12 40 52 67 21
05 12 16 31 43 18
26 28 31 60 67 23
04 13 31 36 52 08
02 03 40 50 62 05
07 15 18 19 36 20
07 17 27 29 40 25
11 12 15 16 54 25
21 31 64 65 67 05
10 11 21 22 53 18
12 13 44 52 62 06
03 27 34 59 69 19
14 23 32 34 68 03
11 28 50 57 62 23
10 12 13 46 50 21
11 23 43 54 60 03
05 08 15 22 49 25
11 23 42 52 68 06
24 44 53 55 63 19
09 28 30 40 61 03
04 28 49 60 65 25
